Section I - Assets,Foreign Currency,Total Currency,DropdownValue
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AB
(i) Treasury Bills and other short term paper,892937,41037628,AB
(ii)Other securities,6537678,40803398,AB
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AB
(i) Debt,245728836,259766725,AB
(ii) Shares,65555440,87200795,AB
3. Loans,3. Loans,3. Loans,AB
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AB
"(i) Call and other short loans to investment dealers and brokers, secured",1315801,2162410,AB
(ii) To regulated financial institutions,7911220,10018658,AB
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1965,AB
(iv) To foreign governments,3050384,3050384,AB
(v) Lease receivables,5662676,14419391,AB
(vi) To individuals for non-business purposes,22730241,127728803,AB
Of (A) Secured by residential property,3756186,41267091,AB
which: (B) Secured by other than residential property,17210982,40393273,AB
(vii) Reverse repurchase agreements,333951534,387388371,AB
(viii) To individuals and others for business purposes,148511964,295710461,AB
Of (A) Secured by residential property,1578370,1956296,AB
which: (B) Secured by other than residential property,94861666,206728599,AB
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AB
(i) Residential,(i) Residential,(i) Residential,AB
(A) Insured,0,93110964,AB
(B) Of which: NHA MBS pooled and unsold,0,34549820,AB
(C) Uninsured,35572949,378669009,AB
(D) Reverse Mortgages,0,0,AB
(ii) Non-residential,22159335,44828855,AB
"4. Customers' liability under acceptances, less allowance for expected credit losses",154166,2292386,AB
"5. Land, buildings, and equipment, less accumulated depreciation",3098712,6789731,AB
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AB
(a) Insurance-related assets,6342,5928754,AB
(b) Accrued interest,5604036,8339009,AB
(c) Prepaid and deferred charges,362486,1577523,AB
(d) Goodwill,8481770,19009207,AB
(e) Intangibles,(e) Intangibles,(e) Intangibles,AB
(i) with definite lives,3119853,7693503,AB
(ii) with indefinite lives,8900,327900,AB
(f) Deferred tax assets,1970736,3756114,AB
(g) Derivatives related amounts,66975930,113438618,AB
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AB
(i) Interests in associates and joint ventures,302223,604862,AB
(j) Other,44911850,61965027,AB
Total  Assets,1135540066,2156005889,AB
Gold coin and gold and silver bullion,0,0,AS
Bank notes and other coin,0,0,AS
Not in use,Not in use,Not in use,AS
Deposits with Bank of Canada,0,0,AS
"Deposits with regulated financial institutions, less allowance for impairment",0,499023,AS
Cheques and other items in transit (net),0,0,AS
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,AS
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,AS
Treasury Bills,0,945800,AS
Other securities maturing within 3 years,0,0,AS
Other securities,0,0,AS
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,AS
Securities maturing within 3 years,0,0,AS
Other securities,0,0,AS
Shares,0,0,AS
Securities issued or guaranteed by a Canadian province,0,0,AS
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,AS
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment",AS
Debt,0,0,AS
Shares,0,0,AS
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment",AS
"Call and other short loans to investment dealers and brokers, secured",0,0,AS
To regulated financial institutions,0,0,AS
"To Canadian federal government, provinces, municipal or school corporations",0,0,AS
To foreign governments,0,0,AS
Lease receivables,0,0,AS
To individuals for non-business purposes,0,269,AS
Reverse repurchase agreements,0,0,AS
To individuals and others for business purposes,0,0,AS
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment",AS
Residential,Residential,Residential,AS
Insured,0,0,AS
Uninsured,0,0,AS
Non-residential,0,0,AS
"Customers' liability under acceptances, less allowances for impairment",0,0,AS
"Land, buildings, and equipment, less accumulated depreciation",0,0,AS
Insurance-related assets,Insurance-related assets,Insurance-related assets,AS
Policy loans,0,0,AS
Premiums outstanding,0,0,AS
Due from other insurers,0,0,AS
Other,0,0,AS
Other assets,Other assets,Other assets,AS
Accrued interest,0,0,AS
Prepaid and deferred charges,0,234,AS
Goodwill,0,0,AS
Intangibles,Intangibles,Intangibles,AS
with definite lives,0,0,AS
with indefinite lives,0,0,AS
Future income taxes,0,235,AS
Derivatives related amounts,0,0,AS
Due from Head Office and related Canadian regulated Financial Institutions,0,0,AS
Other,0,21346,AS
Total assets,0,1466907,AS
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,EY
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3619,122855,EY
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",1496907,41096172,EY
2. Securities,2. Securities,2. Securities,EY
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",EY
(i) Treasury Bills and other short term paper,0,0,EY
(ii)Other securities,0,0,EY
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",EY
(i) Debt,0,0,EY
(ii) Shares,0,0,EY
3. Loans,3. Loans,3. Loans,EY
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",EY
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,EY
(ii) To regulated financial institutions,0,0,EY
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,EY
(iv) To foreign governments,0,0,EY
(v) Lease receivables,0,0,EY
(vi) To individuals for non-business purposes,1009,1614135,EY
Of (A) Secured by residential property,0,461427,EY
which: (B) Secured by other than residential property,0,0,EY
(vii) Reverse repurchase agreements,0,0,EY
(viii) To individuals and others for business purposes,0,0,EY
Of (A) Secured by residential property,0,0,EY
which: (B) Secured by other than residential property,0,0,EY
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",EY
(i) Residential,(i) Residential,(i) Residential,EY
(A) Insured,0,706729,EY
(B) Of which: NHA MBS pooled and unsold,0,0,EY
(C) Uninsured,0,7061533,EY
(D) Reverse Mortgages,0,0,EY
(ii) Non-residential,0,0,EY
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,EY
"5. Land, buildings, and equipment, less accumulated depreciation",0,17226,EY
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",EY
(a) Insurance-related assets,0,0,EY
(b) Accrued interest,1476,186297,EY
(c) Prepaid and deferred charges,0,12565,EY
(d) Goodwill,0,0,EY
(e) Intangibles,(e) Intangibles,(e) Intangibles,EY
(i) with definite lives,0,62173,EY
(ii) with indefinite lives,0,0,EY
(f) Deferred tax assets,0,4294,EY
(g) Derivatives related amounts,0,0,EY
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,EY
(i) Interests in associates and joint ventures,0,0,EY
(j) Other,16679,78385,EY
Total  Assets,1519690,50962364,EY
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AD
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15639783,38523362,AD
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",86446499,88400096,AD
2. Securities,2. Securities,2. Securities,AD
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AD
(i) Treasury Bills and other short term paper,396624,9177503,AD
(ii)Other securities,6235122,99955669,AD
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AD
(i) Debt,312452604,329730292,AD
(ii) Shares,59168862,74082199,AD
3. Loans,3. Loans,3. Loans,AD
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AD
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AD
(ii) To regulated financial institutions,1909199,1945838,AD
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1836631,AD
(iv) To foreign governments,15661047,15661047,AD
(v) Lease receivables,6244546,7758699,AD
(vi) To individuals for non-business purposes,74531522,257997031,AD
Of (A) Secured by residential property,10866108,131084864,AD
which: (B) Secured by other than residential property,44913759,77104381,AD
(vii) Reverse repurchase agreements,133253036,203157256,AD
(viii) To individuals and others for business purposes,152544972,239347814,AD
Of (A) Secured by residential property,48867,5969550,AD
which: (B) Secured by other than residential property,95766433,156698866,AD
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AD
(i) Residential,(i) Residential,(i) Residential,AD
(A) Insured,1711992,92035018,AD
(B) Of which: NHA MBS pooled and unsold,0,22284692,AD
(C) Uninsured,60659853,275802812,AD
(D) Reverse Mortgages,0,0,AD
(ii) Non-residential,34397186,66977474,AD
"4. Customers' liability under acceptances, less allowance for expected credit losses",2658,220099,AD
"5. Land, buildings, and equipment, less accumulated depreciation",5261057,9383971,AD
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AD
(a) Insurance-related assets,0,730116,AD
(b) Accrued interest,3559670,5799691,AD
(c) Prepaid and deferred charges,312172,1629367,AD
(d) Goodwill,16454186,18571574,AD
(e) Intangibles,(e) Intangibles,(e) Intangibles,AD
(i) with definite lives,1132187,2936706,AD
(ii) with indefinite lives,0,0,AD
(f) Deferred tax assets,2732520,4691614,AD
(g) Derivatives related amounts,280582494,67059007,AD
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AD
(i) Interests in associates and joint ventures,14071818,14272189,AD
(j) Other,56392421,53768434,AD
Total  Assets,1341754030,1981451509,AD
Gold coin and gold and silver bullion,0,0,AT
Bank notes and other coin,0,0,AT
Not in use,Not in use,Not in use,AT
Deposits with Bank of Canada,0,0,AT
"Deposits with regulated financial institutions, less allowance for impairment",0,7957,AT
Cheques and other items in transit,0,0,AT
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,AT
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,AT
Treasury Bills,0,0,AT
Other securities maturing within 3 years,0,0,AT
Other securities,0,0,AT
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,AT
Securities maturing within 3 years,0,0,AT
Other securities,0,0,AT
Shares,0,0,AT
Securities issued or guaranteed by a Canadian province,0,0,AT
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,AT
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment",AT
Debt,0,0,AT
Shares,0,0,AT
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment",AT
"Call and other short loans to investment dealers and brokers, secured",0,0,AT
To regulated financial institutions,0,0,AT
"To Canadian federal government, provinces, municipal or school corporations",0,0,AT
To foreign governments,0,0,AT
Lease receivables,0,9397,AT
To individuals for non-business purposes,0,10950,AT
Reverse repurchase agreements,0,0,AT
To individuals and others for business purposes,0,0,AT
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment",AT
Residential,Residential,Residential,AT
Insured,0,17599,AT
Uninsured,0,25654,AT
Non-residential,0,26161,AT
"Customers' liability under acceptances, less allowances for impairment",0,0,AT
"Land, buildings, and equipment, less accumulated depreciation",0,55,AT
Insurance-related assets,Insurance-related assets,Insurance-related assets,AT
Policy loans,0,0,AT
Premiums outstanding,0,0,AT
Due from other insurers,0,0,AT
Other,0,0,AT
Other assets,Other assets,Other assets,AT
Accrued interest,0,381,AT
Prepaid and deferred charges,0,559,AT
Goodwill,0,0,AT
Intangibles,Intangibles,Intangibles,AT
with definite lives,0,0,AT
with indefinite lives,0,0,AT
Future income taxes,0,0,AT
Derivatives related amounts,0,0,AT
Due from Head Office and related Canadian regulated Financial Institutions,0,0,AT
Other,0,634,AT
Total assets,0,99347,AT
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,EX
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,EX
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",501,10531,EX
2. Securities,2. Securities,2. Securities,EX
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",EX
(i) Treasury Bills and other short term paper,0,9115,EX
(ii)Other securities,0,32623,EX
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",EX
(i) Debt,0,0,EX
(ii) Shares,0,0,EX
3. Loans,3. Loans,3. Loans,EX
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",EX
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,EX
(ii) To regulated financial institutions,0,0,EX
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,EX
(iv) To foreign governments,0,0,EX
(v) Lease receivables,0,0,EX
(vi) To individuals for non-business purposes,0,359,EX
Of (A) Secured by residential property,0,0,EX
which: (B) Secured by other than residential property,0,0,EX
(vii) Reverse repurchase agreements,0,0,EX
(viii) To individuals and others for business purposes,0,55879,EX
Of (A) Secured by residential property,0,0,EX
which: (B) Secured by other than residential property,0,0,EX
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",EX
(i) Residential,(i) Residential,(i) Residential,EX
(A) Insured,0,0,EX
(B) Of which: NHA MBS pooled and unsold,0,0,EX
(C) Uninsured,0,0,EX
(D) Reverse Mortgages,0,0,EX
(ii) Non-residential,0,228801,EX
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,EX
"5. Land, buildings, and equipment, less accumulated depreciation",0,376,EX
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",EX
(a) Insurance-related assets,0,0,EX
(b) Accrued interest,0,1358,EX
(c) Prepaid and deferred charges,0,371,EX
(d) Goodwill,0,0,EX
(e) Intangibles,(e) Intangibles,(e) Intangibles,EX
(i) with definite lives,0,678,EX
(ii) with indefinite lives,0,0,EX
(f) Deferred tax assets,0,1985,EX
(g) Derivatives related amounts,0,7,EX
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,EX
(i) Interests in associates and joint ventures,0,0,EX
(j) Other,0,1279,EX
Total  Assets,501,343362,EX
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AP
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,AP
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,187870,AP
2. Securities,2. Securities,2. Securities,AP
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AP
(i) Treasury Bills and other short term paper,0,149981,AP
(ii)Other securities,0,2998,AP
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AP
(i) Debt,0,17638,AP
(ii) Shares,0,0,AP
3. Loans,3. Loans,3. Loans,AP
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AP
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AP
(ii) To regulated financial institutions,0,0,AP
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,2957,AP
(iv) To foreign governments,0,0,AP
(v) Lease receivables,51241,503240,AP
(vi) To individuals for non-business purposes,0,2495824,AP
Of (A) Secured by residential property,0,0,AP
which: (B) Secured by other than residential property,0,2492386,AP
(vii) Reverse repurchase agreements,0,0,AP
(viii) To individuals and others for business purposes,24287,225176,AP
Of (A) Secured by residential property,0,0,AP
which: (B) Secured by other than residential property,24287,225176,AP
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AP
(i) Residential,(i) Residential,(i) Residential,AP
(A) Insured,0,98385,AP
(B) Of which: NHA MBS pooled and unsold,0,0,AP
(C) Uninsured,0,469981,AP
(D) Reverse Mortgages,0,0,AP
(ii) Non-residential,0,174923,AP
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AP
"5. Land, buildings, and equipment, less accumulated depreciation",0,26532,AP
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AP
(a) Insurance-related assets,0,0,AP
(b) Accrued interest,0,21370,AP
(c) Prepaid and deferred charges,0,19859,AP
(d) Goodwill,0,5753,AP
(e) Intangibles,(e) Intangibles,(e) Intangibles,AP
(i) with definite lives,0,2880,AP
(ii) with indefinite lives,0,0,AP
(f) Deferred tax assets,0,2166,AP
(g) Derivatives related amounts,0,599,AP
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AP
(i) Interests in associates and joint ventures,0,0,AP
(j) Other,0,6859,AP
Total  Assets,75528,4414991,AP
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FX
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,FX
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,38980,FX
2. Securities,2. Securities,2. Securities,FX
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FX
(i) Treasury Bills and other short term paper,0,16583,FX
(ii)Other securities,0,0,FX
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FX
(i) Debt,0,0,FX
(ii) Shares,0,0,FX
3. Loans,3. Loans,3. Loans,FX
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FX
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FX
(ii) To regulated financial institutions,0,0,FX
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FX
(iv) To foreign governments,0,0,FX
(v) Lease receivables,0,0,FX
(vi) To individuals for non-business purposes,0,46483,FX
Of (A) Secured by residential property,0,0,FX
which: (B) Secured by other than residential property,0,46483,FX
(vii) Reverse repurchase agreements,0,0,FX
(viii) To individuals and others for business purposes,0,0,FX
Of (A) Secured by residential property,0,0,FX
which: (B) Secured by other than residential property,0,0,FX
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FX
(i) Residential,(i) Residential,(i) Residential,FX
(A) Insured,0,418,FX
(B) Of which: NHA MBS pooled and unsold,0,0,FX
(C) Uninsured,0,408631,FX
(D) Reverse Mortgages,0,0,FX
(ii) Non-residential,0,53335,FX
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FX
"5. Land, buildings, and equipment, less accumulated depreciation",0,64,FX
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FX
(a) Insurance-related assets,0,0,FX
(b) Accrued interest,0,1269,FX
(c) Prepaid and deferred charges,0,2782,FX
(d) Goodwill,0,0,FX
(e) Intangibles,(e) Intangibles,(e) Intangibles,FX
(i) with definite lives,0,122,FX
(ii) with indefinite lives,0,0,FX
(f) Deferred tax assets,0,0,FX
(g) Derivatives related amounts,0,0,FX
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FX
(i) Interests in associates and joint ventures,0,0,FX
(j) Other,0,633,FX
Total  Assets,0,569300,FX
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AQ
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,AQ
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,4619,AQ
2. Securities,2. Securities,2. Securities,AQ
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AQ
(i) Treasury Bills and other short term paper,0,29102,AQ
(ii)Other securities,0,71674,AQ
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AQ
(i) Debt,0,0,AQ
(ii) Shares,0,0,AQ
3. Loans,3. Loans,3. Loans,AQ
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AQ
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AQ
(ii) To regulated financial institutions,0,0,AQ
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AQ
(iv) To foreign governments,0,0,AQ
(v) Lease receivables,0,0,AQ
(vi) To individuals for non-business purposes,0,0,AQ
Of (A) Secured by residential property,0,0,AQ
which: (B) Secured by other than residential property,0,0,AQ
(vii) Reverse repurchase agreements,0,0,AQ
(viii) To individuals and others for business purposes,0,0,AQ
Of (A) Secured by residential property,0,0,AQ
which: (B) Secured by other than residential property,0,0,AQ
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AQ
(i) Residential,(i) Residential,(i) Residential,AQ
(A) Insured,0,0,AQ
(B) Of which: NHA MBS pooled and unsold,0,0,AQ
(C) Uninsured,0,0,AQ
(D) Reverse Mortgages,0,0,AQ
(ii) Non-residential,0,0,AQ
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AQ
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,AQ
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AQ
(a) Insurance-related assets,0,0,AQ
(b) Accrued interest,0,329,AQ
(c) Prepaid and deferred charges,0,2,AQ
(d) Goodwill,0,0,AQ
(e) Intangibles,(e) Intangibles,(e) Intangibles,AQ
(i) with definite lives,0,0,AQ
(ii) with indefinite lives,0,0,AQ
(f) Deferred tax assets,0,0,AQ
(g) Derivatives related amounts,0,0,AQ
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AQ
(i) Interests in associates and joint ventures,0,0,AQ
(j) Other,0,6,AQ
Total  Assets,0,105732,AQ
